From,To,Length,Cost,Var
0,48,921.0410139,174.1864929,7508.433188
0,64,1179.207157,114.2854791,3879.989223
0,16,620.9053755,118.6889259,2814.325118
1,1288,467.5522935,121.4447884,899.8955034
1,311,730.2875808,83.88939703,791.0752626
2,18,1343.253385,134.1110474,10771.34339
2,49,3962.074577,310.3702582,20218.00528
2,34,2157.007237,470.3706185,25764.79803
2,66,2847.913944,229.6580423,3865.827779
3,742,768.4620807,365.1323429,10698.37758
3,127,4181.143453,99.64549224,636.3480106
3,19,1538.935186,72.54859316,291.0063151
3,51,2662.134322,377.2086989,4418.746594
4,408,443.815225,64.9293184,30.5050328
4,655,121.2443022,27.21351187,22.52916898
5,195,124.7648613,34.34868815,301.0587812
5,620,121.1557126,30.11894495,75.52344865
6,901,180.6695447,16.76247846,8.340982878
6,726,150.5741881,17.84171006,8.936307422
7,211,524.5509497,65.94621979,246.9441104
7,422,674.1569701,71.06996248,236.9512474
7,366,521.0576293,71.05172714,369.4414829
7,341,501.773329,90.89248086,395.1044044
8,916,219.1141492,56.37439157,220.1978248
8,888,397.8707718,62.10968024,282.1984957
8,487,262.0547376,54.59681834,280.372581
9,1767,142.7229606,33.60758487,75.12549043
9,1472,295.7785775,30.5648999,87.75612247
9,1673,231.7111229,57.46198618,279.1277047
10,1653,314.7466556,101.1968649,1466.134937
10,792,301.3254122,61.90387624,291.1825626
10,1065,393.3975505,58.05192293,212.0416561
11,215,278.1529173,30.10761005,56.5843603
11,580,239.1655126,35.81628492,102.9017509
12,28,531.5645307,65.72466695,239.7041986
12,383,272.1300849,199.5057802,3733.801023
12,90,1229.628076,50.07856678,227.5176197
13,793,430.2623322,40.9691396,119.8871375
13,738,320.8957553,57.89214991,229.6803598
13,203,321.9945508,50.67359263,98.44648314
14,1216,906.1380717,57.2127578,439.7734662
14,763,518.9610531,68.28981946,236.0791736
14,609,436.5838356,90.45781944,740.3400333
15,336,1119.4482,60.71859014,136.6518394
15,310,370.0824554,44.88601081,177.5517648
15,163,503.3719165,147.4505549,1960.595045
16,80,921.0410139,108.6849126,2058.082497
16,178,964.822029,192.9083762,7203.506136
17,220,1371.854501,86.22124783,1071.08071
17,65,447.9160573,358.5349389,14840.14811
17,49,1933.671041,56.57305908,244.0604185
18,65,643.6417399,68.49883003,254.3781912
18,459,1343.253385,256.3173228,23563.58106
19,127,747.6592605,178.1308219,1143.950197
19,432,2558.887309,175.5458414,12526.14306
19,35,768.4620807,241.9213702,7436.411596
20,466,2397.625728,181.6336677,12283.0905
20,82,1877.861688,111.4573156,1952.387053
20,457,1672.884115,99.40897251,466.8746902
21,1163,792.6168708,53.45498733,204.7360985
21,1654,941.1702069,72.87529384,419.2953963
22,1370,1304.912095,34.35876001,269.1632729
22,1366,297.9644774,27.419989,119.4640279
22,1230,491.0600093,79.27661054,438.5903112
23,289,640.3378561,43.31854793,32.30489497
23,389,126.4330825,88.83019529,372.743935
23,155,297.4541047,69.66554354,233.589805
24,743,662.8173793,90.82845223,3235.972813
24,1021,477.2751353,89.22120939,832.5580545
25,712,744.8007551,47.5972392,189.4727852
25,1861,534.7262649,25.45966647,54.02520868
25,812,1087.243613,27.63097491,91.78570698
25,1300,344.9470654,74.06315215,279.2502709
26,1079,233.7971718,32.27425407,302.652818
26,1816,414.1344437,10.7110664,9.775250941
26,1798,257.6165547,9.056956378,14.95909539
26,1695,120.2890328,30.26440244,548.2927383
27,43,177.9770438,62.06159569,343.2840181
27,332,47.47870099,151.3371978,2111.523877
27,358,55.09816775,273.4495668,8701.560733
27,634,395.6032631,91.92296709,542.2444624
28,118,804.1917262,68.07679067,508.5422604
28,229,1712.154667,157.6973263,1977.153936
29,762,516.7491094,65.74387381,654.7627053
29,1059,531.5645307,28.30500417,128.1961771
29,456,598.1445228,72.81787012,494.7150073
29,563,1158.521852,60.35917361,421.8477458
30,654,471.5487556,40.98747386,65.19643809
30,483,419.311019,34.31418619,18.59682594
30,1126,439.4701222,77.15471201,1281.176369
31,63,248.4815623,62.60606923,147.4466769
31,336,198.6988912,48.06415969,67.84386105
31,284,205.6812406,65.96070438,350.7448734
32,732,358.9538853,357.0570141,121542.9701
32,439,442.5338513,282.2988126,16011.0581
32,64,641.1616517,225.5764844,30593.0298
33,165,421.783258,31.12952241,161.3907579
33,151,1557.607396,79.18841384,590.3323536
33,81,2356.527401,63.3512578,364.4922807
33,193,3932.226913,48.75776122,687.3363445
34,750,633.6067313,674.0539832,44579.02756
34,50,824.5702416,246.5702716,8782.33292
35,67,221.4271661,280.4151535,2270.921151
35,51,618.1188471,310.8075081,3069.145427
36,386,3962.074577,65.16099821,197.070347
36,565,2352.605615,54.80617156,147.9707651
36,673,3705.554474,44.48975358,636.6451738
37,1211,2397.625728,47.88830876,65.57792022
37,907,3382.064279,38.41454199,230.2927096
37,802,3231.919547,116.1649558,1530.219519
38,594,347.1260675,148.5485279,3021.291296
38,314,476.5458367,349.6679433,4604.244636
38,824,290.8539716,38.75352061,23.11695373
39,411,870.2509514,88.2009156,444.4207966
39,389,289.0479444,70.67535263,133.6819162
39,155,525.6174909,84.68517871,288.5321452
40,86,1568.99986,57.32330741,262.0766101
40,142,468.6458284,41.56052125,387.0308615
40,832,534.061291,18.52107752,25.74803149
41,798,868.2777382,177.7619171,10992.09743
41,952,646.8891553,37.45113035,222.7727324
41,1111,713.2862675,29.90402874,81.35586088
42,1876,256.210622,48.02479444,970.8858415
42,642,211.7407755,40.39915714,147.1215911
42,1172,124.1066729,118.3425645,2756.481078
42,1726,848.9314547,78.17648214,2759.045641
43,201,289.5094766,56.91870915,278.3825803
43,571,230.317022,114.3162104,525.2693349
44,268,369.6500203,70.99390936,494.6006943
44,714,429.010321,119.2067755,652.3807106
44,1251,426.6043255,46.56493149,89.96517334
44,146,494.2698699,58.45226611,112.003621
45,738,395.6032631,50.15990285,847.9571887
45,203,389.6542203,16.74137046,4.956945974
45,1045,766.0010004,14.79295859,4.654430528
45,1245,424.8850094,17.53955886,5.675708662
46,913,684.6502382,45.50727029,321.3024867
46,1025,1020.176889,48.35249665,71.39914005
46,1120,395.8115907,16.63093197,9.616268122
47,232,316.9564225,98.78323851,2789.871212
48,150,437.27896,121.8208353,1724.841136
48,80,260.2348094,148.8334132,4581.369485
49,324,229.5704148,32.43341735,85.47269845
50,51,205.4299773,100.1889958,226.3025629
50,66,280.7455374,502.3775554,10996.17002
52,664,113.8159393,216.8871893,5201.944276
52,448,922.6154733,20.52591551,24.7388188
53,299,1179.207157,108.7703405,390.1722473
53,222,949.7687465,22.69401716,29.19084478
53,1417,1042.151102,58.63162478,294.7193143
53,942,2157.007237,109.536507,1988.84992
54,1110,447.9160573,51.7086663,471.6675602
54,1242,260.003546,47.47419903,130.3378628
54,880,2352.605615,36.72258275,151.7049703
55,197,1099.377533,69.70372175,2790.034457
55,169,5178.755161,48.65041363,63.77004885
56,860,4181.143453,14.87848258,23.94504304
56,896,3382.064279,84.96587411,646.1432207
56,1628,1099.377533,37.92212159,108.0200238
56,818,175.2258277,141.1255919,3023.472857
57,1371,1387.754926,70.59846901,278.3931
57,1664,174.577126,26.95322648,46.32616557
57,1472,878.2173475,65.38329584,209.9686641
58,1037,681.411241,48.17609239,348.8326429
58,116,399.819279,46.3368713,187.0897811
58,471,215.9173046,26.98079576,100.1071512
59,463,217.6304248,93.03425301,4877.50368
59,598,364.468426,81.34530717,3109.679319
59,306,640.8767311,172.186952,4009.048509
60,255,587.8169162,195.9467891,6196.452219
61,189,1120.459658,41.9782611,313.4834353
61,343,63.4009281,31.11977892,61.25535671
115,61,1083.884355,33.17503314,159.0958764
62,361,280.3753136,62.90092171,196.4386536
62,1039,369.4097262,32.28742587,117.6084937
63,763,344.4107303,108.4434302,1921.991617
63,297,138.3653967,79.45182003,425.0881381
63,672,245.4249467,65.50278089,212.1369335
64,108,313.9204424,209.3566149,11817.83195
65,311,207.9239017,90.50015046,834.7438023
66,137,2896.260247,214.1976012,3095.159905
67,400,1233.652182,206.7704845,2231.089971
67,250,1072.394654,310.6910242,1798.762907
68,260,769.663418,24.85333528,31.26148309
68,390,274.1133533,127.0333082,1855.214381
68,475,266.2771936,109.7709673,1250.198012
69,1409,304.9521499,31.92845573,76.54469937
69,1672,224.0604964,103.1009112,2214.548035
69,1627,442.5338513,48.30929738,129.2599167
69,991,556.1092987,41.76948481,736.9031099
70,1422,506.0911374,35.30122699,118.2139258
70,1418,667.0150371,49.18620158,288.6139742
70,1378,620.9053755,41.86534477,652.6724441
71,197,1557.607396,60.39085051,426.2108042
71,276,2179.281715,84.27742158,1414.90139
71,422,1933.671041,87.61458995,915.0889031
72,367,747.6592605,17.07505289,13.03976558
72,1171,680.9342629,43.66042143,127.2096818
73,1395,2847.913944,42.72468636,225.836813
73,1873,5178.755161,31.6393046,46.93369082
73,101,2514.976447,75.15278872,432.4917829
74,777,3231.919547,128.8444542,3162.607191
74,534,3561.461404,31.76724116,87.71693422
74,729,2556.670043,70.95283897,588.0662888
75,393,233.2483219,66.72248183,439.230771
75,254,1044.207014,38.29828315,68.68393439
75,508,1103.828643,73.92966743,204.6950112
75,688,335.3540978,52.30697996,81.21448801
76,281,217.7158719,165.1236526,10917.55894
76,394,433.0946594,323.180883,20041.19392
76,909,543.3340304,258.3728452,11582.09193
77,1031,260.1592847,15.54114497,83.1274381
77,926,315.986651,20.11897368,77.43891629
77,473,171.0052479,26.67988827,24.20988901
78,1066,513.6855656,64.51701027,1553.137963
78,204,518.3521345,68.53197034,2167.132407
78,1267,686.2321224,67.97833076,2330.482083
78,739,66.08638951,84.69172063,2347.045581
79,323,155.8463457,122.0187813,4101.427728
79,135,490.4980126,127.612889,1495.635931
80,122,269.7031656,187.2017658,4889.869572
81,95,270.7760379,93.43593795,305.9340558
81,311,244.0320835,129.5728138,1620.240133
81,207,343.7264565,132.1848614,2538.856078
82,655,645.8292508,56.63692431,228.8038139
82,493,367.8425915,26.92441984,97.02409048
83,1486,333.8853966,91.74314828,972.8272978
83,1447,494.3112084,77.78607059,561.0432893
1441,83,403.8793365,33.89301637,137.8486244
83,802,1348.923914,81.45789956,524.8601977
84,1406,1662.937701,62.64025078,838.4379109
84,1020,2259.420999,51.89325792,315.2471487
84,1200,176.3622819,45.59912817,243.9614994
85,169,160.9066087,174.4165044,1816.62007
85,211,299.4921877,41.75183105,493.4320968
85,328,698.8963881,112.3911455,2002.097218
85,315,464.4351601,166.6517386,958.9873737
86,355,402.5694056,37.73287944,76.49067477
86,972,883.1558153,25.35377829,95.47015304
86,212,987.1946311,65.79560138,438.6620079
87,1761,766.5512676,32.04407672,321.0550012
87,1189,964.822029,30.13241406,57.60852878
87,569,949.7687465,23.21372663,29.00339972
88,1452,1234.279989,87.29738832,930.8547647
88,403,633.6067313,52.1320242,233.2481664
88,1844,619.7093779,24.21994051,100.3265994
88,1002,711.2274612,27.10587356,75.45774909
89,499,1080.785337,49.86002425,98.43564714
89,526,792.6168708,79.09032078,306.8774462
90,320,214.3025008,58.8059046,681.9366711
90,307,269.0872958,69.37594842,262.0871623
91,877,363.9071631,24.06972317,362.6610511
91,282,520.1873761,59.62768769,262.7061918
91,1179,418.6414886,73.15979238,459.7604636
91,509,209.2367022,58.31447525,127.0706825
92,663,366.3525489,23.13862201,32.95611158
92,270,364.7385995,48.22949082,452.4235843
92,573,1658.984337,58.56552583,51.45150435
92,1210,477.5222472,193.8141185,3947.632689
93,219,1769.885404,185.4054465,4430.3387
93,258,460.3875534,100.4682075,1082.669672
93,336,256.210622,62.62203062,414.4171607
93,310,443.8111945,75.59600863,138.586459
94,122,232.8683491,119.6255208,2628.984512
94,206,174.7956832,303.0570407,12036.68581
94,164,144.6887032,103.1801071,966.5211401
94,136,198.5438166,262.7370803,4850.553934
95,1019,214.3053235,48.3561096,94.84223678
95,272,224.9325864,114.3691053,866.1175712
95,151,124.055725,101.2561451,2803.521666
96,180,437.604509,38.59384437,10.58185322
96,740,104.1724733,55.87670947,88.0427648
97,1607,190.9052235,49.57074594,178.0652302
97,1012,280.2382615,43.80123258,99.64488983
97,1477,272.1300849,43.74789364,163.0871599
97,1377,622.3122248,49.65506102,255.6647556
98,275,537.6519444,68.1293086,1429.028692
98,1236,250.6598557,68.70721821,287.3320333
98,922,284.4441927,29.28802737,38.03021842
99,426,297.4542591,50.46618667,154.1263606
99,210,346.78701,73.07478952,249.5631207
99,169,310.8469857,87.60204847,768.5777631
100,1042,859.1051817,72.41735341,855.9050732
100,412,120.950215,44.70845129,144.0674807
100,401,931.4646503,27.92366777,169.4070627
101,1535,1083.881004,141.5688866,2208.974382
101,1799,762.4217694,28.97879712,76.14845497
102,997,557.8703401,51.00399645,386.7180923
102,761,365.5265608,54.86587558,182.2675711
102,552,881.2258787,22.42858321,49.72300459
103,332,2127.548928,171.9509408,2030.3302
